dsArticulo,marca_linea,proveedor_ref
CREMA DE LECHE 39% X 5 LT MILKAUT,MILKAUT LACTEOS,MILKAUT SA
CREMA DE LECHE 44% LA PAULINA X 5 LT,PAULINA LACTEOS,MOLFINO HNOS S.A.
CREMA DE LECHE 44% X 5 LT MILKAUT,MILKAUT LACTEOS,MILKAUT SA
CREMA DE LECHE X 200 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
CREMA DE LECHE X 350 GRS TREGAR,TREGAR LACTEOS,GARCIA HNOS AGROINDUSTRIAL SRL
CRISPY PECHUGA POLLO X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
CRISPY PECHUGA POLLO X 5 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
CROQ BROCOLI Y Q. X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
CROQ CALABAZA Y Q. X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
CROQ ESPINACA Y Q. X 1 KG GTA,GRANJA TRES ARROYOS FOOD SERVICE,GRANJA TRES ARROYOS SOCIEDAD ANONIMA
DDL FAMILIAR BALDE X 10 KG VACALIN,VACALIN SECOS,ERNESTO RODRIGUEZ E HIJOS SA
DDL REPOSTERO BALDE X 10 KG VACALIN,VACALIN SECOS,ERNESTO RODRIGUEZ E HIJOS SA
DDL TREGAR X 200 GRS,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
DDL TREGAR X 400 GRS,TREGAR SECOS,GARCIA HNOS AGROINDUSTRIAL SRL
DINOS DE POLLO GRANGYS X 400 GRS,GRANGYS RETAIL,GONZALEZ PABLO
DINOS DE POLLO GRANGYS X 5 KG,GRANGYS CONGELADOS,GONZALEZ PABLO
DULCE DE LECHE BOMBON,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
DULCE DE LECHE GRANIZADO,CREMAS HELADAS,CREMAS HELADAS DE MALVINAS SRL
